c19603	CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
c16662	CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
c16750	CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1
c16645	O=c1[nH]c2cc(Cl)ccc2o1
c19605	CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
c17012	OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1
c12058	C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1
c17624	CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
c17529	Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1
c16538	CN(C)CCOC(C)(c1ccccc1)c1ccccn1
c16915	C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC
c16342	NC[C@H](O)c1ccc(O)c(O)c1
c16339	CN1CCN2c3ncccc3Cc3ccccc3C2C1
c16553	CCCC(C)(COC(N)=O)COC(N)=O
c16230	CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2
c16376	CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1
c16920	CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O
c16792	OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1
c16269	O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2
c16913	CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C
c16724	Cc1cccc(C)c1OCC(C)N
c17261	C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1
c16402	CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
c19606	Nc1c2c(nc3ccccc13)CCCC2
c17116	CN1CCCN=C1COC(=O)C(O)(c1ccccc1)C1CCCCC1
c16903	CCCCC(=O)OCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(OC)cccc1C3=O
c16782	OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1
c16440	CNC[C@H](O)c1cccc(O)c1
c17024	C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
c16227	CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
c17560	CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21
c19608	CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C
c19609	CCCC(C)(COC(N)=O)COC(=O)NC(C)C
c16473	CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
c19610	CC(N)C(O)c1ccccc1
c17606	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
c17601	O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
c16854	COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]
c16626	CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1
c16452	Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
c16742	CN(C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1
c19611	CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1
c13743	CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC
c16256	C[N+](C)(C)CCOC(N)=O
c16757	CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1
c17517	CCCN[C@H]1CCc2nc(N)sc2C1
c19612	CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
c16301	CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O
c19613	COc1ccc2cc1Oc1cc3c(cc1OC)CC[N+](C)(C)[C@H]3Cc1ccc(cc1)Oc1c(OC)c(OC)cc3c1[C@@H](C2)[N+](C)(C)CC3
c16871	CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O
c16941	C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
c16299	CN(C)CCCN1c2ccccc2Sc2ccccc21
c16345	COC(=O)C(c1ccccc1)C1CCCCN1
c19614	COc1ccccc1OCC(O)COC(N)=O
c19615	CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)[C@H](CO)c1ccccc1)C2
c17256	Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1
c16715	CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O
c16739	Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1
c17451	CCCCC[C@](C)(O)/C=C/[C@H]1[C@H](O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O.NC(CO)(CO)CO
c19616	Cc1cc(O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)cn1
c19617	Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
